# Adapted from ids-cdp.txt at https://github.com/cjkvi/cjkvi-ids (commit 86b4d16)
# Copyright (c) 2014-2018 CJKVI Database
# Based on CHISE IDS Database
U+56EA	囪	^⿴&CDP-8CC8;&CDP-89D5;$
U+56EC	囬	^⿴囗&CDP-89CC;$
U+56F1	囱	^⿴&CDP-8CC8;夂$	^⿴&CDP-8CC8;夕$	^⿴&CDP-8CC8;夊$
U+5728	在	^⿸&CDP-88F1;土$
U+5782	垂	^⿳丿&CDP-876E;一$
U+57C0	埀	^⿳丿⿻&CDP-8BF1;北一$
U+57D3	埓	^⿰土⿱&CDP-8A4D;寸$	^⿰土&CDP-8BC3;$
U+5807	堇	^⿱廿&CDP-8A6D;$
U+5836	堶	^⿰土&CDP-8CA9;$
U+5841	塁	^⿳田&CDP-89AE;土$
U+58ED	壭	^⿱士&CDP-8A60;$
U+58F3	壳	^⿱&CDP-8D44;几$
U+58F7	壷	^⿱士&CDP-8A49;$
U+58FA	壺	^⿱士&CDP-8DE8;$
U+58FD	壽	^⿳&CDP-8D53;一吋$
U+5900	夀	^⿱&CDP-8A4E;吋$
U+5910	夐	^⿳&CDP-8CAF;目夂$	^⿳&CDP-8CAF;目夊$
U+591C	夜	^⿱亠⿰亻&CDP-89F3;$
U+5922	夢	^⿱&CDP-8D60;夕$
U+5930	夰	^⿱大&CDP-8BF5;$
U+5949	奉	^⿱𡗗&CDP-8BF1;$
U+594D	奍	^⿱龹&CDP-8BF5;$
U+5950	奐	^⿱&CDP-8CAF;大$
U+5965	奥	^⿱⿵&CDP-8BD6;米大$
U+5967	奧	^⿱&CDP-8D7C;大$
U+59BB	妻	^⿱&CDP-89E5;女$
U+5A41	婁	^⿱&CDP-89C5;女$
U+5AA0	媠	^⿰女&CDP-8CA9;$
U+5AAB	媫	^⿰女⿳⺊&CDP-8BAB;龰$
U+5AD3	嫓	^⿰女⿱&CDP-8CAF;比$
U+5AE8	嫨	^⿰女&CDP-8BD3;$
U+5B0A	嬊	^⿳廿&CDP-8D76;女$
U+5B58	存	^⿸&CDP-88F1;子$
U+5B5B	孛	^⿱&CDP-8D52;子$
U+5BBB	宻	^⿳宀&CDP-85A7;山$
U+5BC5	寅	^⿱宀&CDP-8CE6;$
U+5BC7	寇	^⿱宀&CDP-8DD7;$
U+5BE1	寡	^⿳宀&CDP-8DE0;分$
U+5BEC	寬	^⿱宀&CDP-8DA5;$
U+5C07	將	^⿰爿&CDP-8BC3;$
U+5C08	專	^⿱&CDP-8BD0;寸$
U+5C0B	尋	^⿳彐&CDP-8CFA;寸$
U+5C0D	對	^⿰&CDP-8BBD;寸$
U+5C39	尹	^⿻&CDP-8BAB;丿$
U+5C55	展	^⿸尸&CDP-8CE5;$
U+5C6C	屬	^⿸尸&CDP-8CCF;$
U+5C9B	岛	^⿹&CDP-8964;山$
U+5CA1	岡	^⿵冂&CDP-8CC7;$
U+5CF6	島	^⿹&CDP-8CBB;山$
U+5D0B	崋	^⿱山&CDP-8BF8;$
U+5D57	嵗	^⿱山&CDP-8CB3;$
U+5DE4	巤	^⿳巛龱&CDP-8D46;$	^⿳巛囚&CDP-8D46;$
U+5DEB	巫	^⿱一&CDP-8579;$
U+5DEE	差	^⿸&CDP-8CCC;工$
U+5E05	帅	^⿰&CDP-8968;巾$
U+5E07	帇	^⿻&CDP-8BAB;巾$
U+5E08	师	^⿰&CDP-8968;帀$	^⿰&CDP-8BEA;帀$
U+5E1A	帚	^⿳&CDP-8BAB;冖巾$
U+5E1D	帝	^⿱&CDP-8BEC;巾$
U+5E2D	席	^⿸广&CDP-8D40;$
U+5E30	帰	^⿰&CDP-8BEA;帚$	^⿰&CDP-8968;帚$
U+5E36	帶	^⿳&CDP-8C4B;冖巾$
U+5E73	平	^⿱一&CDP-8A64;$
U+5E7A	幺	^⿰&CDP-895C;丶$
U+5E7E	幾	^⿹&CDP-8BA4;人$
U+5E9A	庚	^⿸广&CDP-8DE2;$
U+5EA6	度	^⿸广&CDP-8C46;$
U+5EB6	庶	^⿸广&CDP-8D67;$
U+5EC4	廄	^⿸广&CDP-8AD4;$
U+5ECC	廌	^⿸&CDP-8D56;&CDP-8DBF;$
U+5EDB	廛	^⿸广&CDP-8DC3;$
U+5EF6	延	^⿺廴⿱丿&CDP-8960;$	^⿺廴&CDP-8D62;$
U+5EFE	廾	^⿻一&CDP-8BF5;$
U+5F17	弗	^⿻弓&CDP-8BF5;$
U+5F31	弱	^⿰&CDP-8CC4;&CDP-8CC4;$	^⿰⿹弓&CDP-89A6;⿹弓&CDP-89A6;$
U+5F40	彀	^⿰⿱&CDP-8D44;弓殳$
U+5F52	归	^⿰&CDP-8968;彐$
U+5F57	彗	^⿱⿰丰丰&CDP-8BAB;$
U+5F5B	彛	^⿱&CDP-8BAB;𪪷$
U+5F65	彥	^⿱文&CDP-8D5A;$
U+5F67	彧	^⿻或&CDP-89A6;$
U+5F8C	後	^⿰彳&CDP-8B7B;$
U+5F9E	從	^⿰彳&CDP-8BB0;$
U+60E0	惠	^⿱&CDP-8BD0;心$
U+60F0	惰	^⿰忄&CDP-8CA9;$
U+611B	愛	^⿱&CDP-8BB8;𢖻$
U+6176	慶	^⿸&CDP-8D56;&CDP-8D57;$
U+6181	憁	^⿰忄&CDP-8BDD;$
U+6216	或	^⿹戈&CDP-8BE2;$
U+621E	戞	^⿱&CDP-8CD4;戈$
U+6220	戠	^⿹&CDP-88A7;日$
U+6265	扥	^⿰扌&CDP-8AF0;$
U+62DC	拜	^⿰龵&CDP-8CE7;$
U+62DD	拝	^⿰扌&CDP-8CE7;$
U+6442	摂	^⿰扌⿱耳&CDP-89AE;$
U+64E5	擥	^⿱&CDP-8D50;手$
U+6538	攸	^⿰&CDP-8B7A;攵$
U+6562	敢	^⿰&CDP-8C5B;攵$
U+6563	散	^⿰&CDP-8CEC;攵$
U+656B	敫	^⿰&CDP-8CE0;攵$
U+657B	敻	^⿱&CDP-8CAF;&CDP-88FD;$
